date,daily_pnl
20221101,-369.7324945916189
20221102,-242.3542235753266
20221103,-492.4304420762346
20221104,-555.9931973526254
20221107,-366.16497098491527
20221109,-295.3376954277046
20221110,-280.577696471184
20221111,-521.168673923763
20221114,-327.95564104715595
20221115,-230.51823789533228
20221116,-261.6603996962076
20221117,-150.31653717637528
20221118,-218.15971776098013
20221121,-306.7670702172909
20221122,-188.23623245977797
20221123,-135.3935597401578
20221124,-156.97341205080738
20221125,-327.1210876443656
20221128,-453.36649867292726
20221129,-214.14226867153775
20221130,-370.77353978465544
