timestamp,date,time,portfolio_value,cash,positions,pnl,daily_pnl
20221101 09:15:59,20221101,09:15:59,499918.32165093604,499133.72165093606,NIFTY22110318150CE:1; NIFTY22110318150PE:1; BANKNIFTY22110341600CE:1; BANKNIFTY22110341600PE:1,-81.67834906396456,-81.67834906396456
20221101 09:16:59,20221101,09:16:59,499914.39070151205,499129.990701512,NIFTY22110318150CE:1; NIFTY22110318150PE:1; BANKNIFTY22110341600CE:1; BANKNIFTY22110341600PE:1,-85.60929848795058,-85.60929848795058
20221101 09:17:59,20221101,09:17:59,499908.89070151205,499129.990701512,NIFTY22110318150CE:1; NIFTY22110318150PE:1; BANKNIFTY22110341600CE:1; BANKNIFTY22110341600PE:1,-91.10929848795058,-91.10929848795058
20221101 09:18:59,20221101,09:18:59,499907.490701512,499129.990701512,NIFTY22110318150CE:1; NIFTY22110318150PE:1; BANKNIFTY22110341600CE:1; BANKNIFTY22110341600PE:1,-92.50929848797387,-92.50929848797387
20221101 09:19:59,20221101,09:19:59,499903.19070151204,499129.990701512,NIFTY22110318150CE:1; NIFTY22110318150PE:1; BANKNIFTY22110341600CE:1; BANKNIFTY22110341600PE:1,-96.80929848796222,-96.80929848796222
20221101 09:20:59,20221101,09:20:59,499912.090701512,499129.990701512,NIFTY22110318150CE:1; NIFTY22110318150PE:1; BANKNIFTY22110341600CE:1; BANKNIFTY22110341600PE:1,-87.90929848799715,-87.90929848799715
20221101 09:21:59,20221101,09:21:59,499913.040701512,499129.990701512,NIFTY22110318150CE:1; NIFTY22110318150PE:1; BANKNIFTY22110341600CE:1; BANKNIFTY22110341600PE:1,-86.9592984879855,-86.9592984879855
20221101 09:22:59,20221101,09:22:59,499911.740701512,499129.990701512,NIFTY22110318150CE:1; NIFTY22110318150PE:1; BANKNIFTY22110341600CE:1; BANKNIFTY22110341600PE:1,-88.25929848797387,-88.25929848797387
20221101 09:23:59,20221101,09:23:59,499908.94070151204,499129.990701512,NIFTY22110318150CE:1; NIFTY22110318150PE:1; BANKNIFTY22110341600CE:1; BANKNIFTY22110341600PE:1,-91.05929848796222,-91.05929848796222
20221101 09:24:59,20221101,09:24:59,499911.240701512,499129.990701512,NIFTY22110318150CE:1; NIFTY22110318150PE:1; BANKNIFTY22110341600CE:1; BANKNIFTY22110341600PE:1,-88.75929848797387,-88.75929848797387
20221101 09:25:59,20221101,09:25:59,499917.040701512,499129.990701512,NIFTY22110318150CE:1; NIFTY22110318150PE:1; BANKNIFTY22110341600CE:1; BANKNIFTY22110341600PE:1,-82.9592984879855,-82.9592984879855
20221101 09:26:59,20221101,09:26:59,499915.840701512,499129.990701512,NIFTY22110318150CE:1; NIFTY22110318150PE:1; BANKNIFTY22110341600CE:1; BANKNIFTY22110341600PE:1,-84.15929848799715,-84.15929848799715
20221101 09:27:59,20221101,09:27:59,499914.89070151205,499129.990701512,NIFTY22110318150CE:1; NIFTY22110318150PE:1; BANKNIFTY22110341600CE:1; BANKNIFTY22110341600PE:1,-85.10929848795058,-85.10929848795058
20221101 09:28:59,20221101,09:28:59,499913.790701512,499129.990701512,NIFTY22110318150CE:1; NIFTY22110318150PE:1; BANKNIFTY22110341600CE:1; BANKNIFTY22110341600PE:1,-86.2092984879855,-86.2092984879855
20221101 09:29:59,20221101,09:29:59,499901.290701512,499129.990701512,NIFTY22110318150CE:1; NIFTY22110318150PE:1; BANKNIFTY22110341600CE:1; BANKNIFTY22110341600PE:1,-98.7092984879855,-98.7092984879855
20221101 09:30:59,20221101,09:30:59,499900.14070151205,499129.990701512,NIFTY22110318150CE:1; NIFTY22110318150PE:1; BANKNIFTY22110341600CE:1; BANKNIFTY22110341600PE:1,-99.85929848795058,-99.85929848795058
20221101 09:31:59,20221101,09:31:59,499893.077530944,499121.827530944,NIFTY22110318150CE:1; NIFTY22110318150PE:1; BANKNIFTY22110341700CE:1; BANKNIFTY22110341700PE:1,-106.92246905597858,-106.92246905597858
20221101 09:32:59,20221101,09:32:59,499890.78452632396,499122.33452632395,NIFTY22110318150CE:1; NIFTY22110318150PE:1; BANKNIFTY22110341700CE:1; BANKNIFTY22110341700PE:1,-109.21547367604217,-109.21547367604217
20221101 09:33:59,20221101,09:33:59,499890.8695714479,499121.7695714479,NIFTY22110318150CE:1; NIFTY22110318150PE:1; BANKNIFTY22110341700CE:1; BANKNIFTY22110341700PE:1,-109.1304285521037,-109.1304285521037
20221101 09:34:59,20221101,09:34:59,499891.6581570279,499127.9581570279,NIFTY22110318150CE:1; NIFTY22110318150PE:1; BANKNIFTY22110341600CE:1; BANKNIFTY22110341600PE:1,-108.3418429720914,-108.3418429720914
